date,equity,cash
2020-01-07,350000.000000,350000.000000
2020-01-14,350000.000000,350000.000000
2020-01-21,350000.000000,350000.000000
2020-01-28,350000.000000,350000.000000
2020-02-04,350000.000000,350000.000000
2020-02-11,350000.000000,350000.000000
2020-02-18,350000.000000,350000.000000
2020-02-25,350000.000000,350000.000000
2020-03-03,350000.000000,350000.000000
2020-03-09,350000.000000,350000.000000
2020-03-16,350000.000000,350000.000000
2020-03-23,350000.000000,350000.000000
2020-03-30,350000.000000,350000.000000
2020-04-06,350000.000000,350000.000000
2020-04-13,350000.000000,350000.000000
2020-04-20,350000.000000,350000.000000
2020-04-27,350000.000000,350000.000000
2020-05-04,350000.000000,350000.000000
2020-05-11,350000.000000,350000.000000
2020-05-18,350000.000000,350000.000000
2020-05-25,350000.000000,350000.000000
2020-06-01,350000.000000,350000.000000
2020-06-08,350000.000000,350000.000000
2020-06-15,350000.000000,350000.000000
2020-06-22,350000.000000,350000.000000
2020-06-29,350000.000000,350000.000000
2020-07-06,350000.000000,350000.000000
2020-07-13,350000.000000,350000.000000
2020-07-20,350000.000000,350000.000000
2020-07-27,349914.293603,178501.500000
2020-08-03,355162.459520,178501.500000
2020-08-10,355641.440030,178501.500000
2020-08-17,356125.468016,178501.500000
2020-08-24,356609.496002,178501.500000
2020-08-31,357093.523988,178501.500000
2020-09-07,357577.551974,178501.500000
2020-09-14,358061.579960,178501.500000
2020-09-21,358545.607946,173024.041860
2020-09-28,356740.548948,173024.041860
2020-10-05,357098.406785,173024.041860
2020-10-12,365314.722583,173024.041860
2020-10-19,366158.088330,173024.041860
2020-10-26,366980.540534,173024.041860
2020-11-03,367713.759274,173024.041860
2020-11-10,368469.518117,173024.041860
2020-11-17,369206.838506,173024.041860
2020-11-24,369891.209747,180974.278213
2020-12-01,370393.968368,180974.278213
2020-12-08,370896.726988,180974.278213
2020-12-15,371404.473115,175440.378908
2020-12-22,375350.825436,175440.378908
2020-12-29,376261.800974,175440.378908
2021-01-05,377157.904984,175440.378908
2021-01-12,378036.373731,175440.378908
2021-01-19,378893.713436,175440.378908
2021-01-26,379725.442182,175440.378908
2021-02-02,380525.713988,175440.378908
2021-02-09,381286.757140,175440.378908
2021-02-16,381998.010078,175159.420168
2021-02-23,379374.548410,175159.420168
2021-03-02,385124.407928,175159.420168
2021-03-09,386154.230845,175159.420168
2021-03-15,387225.087332,175159.420168
2021-03-22,388244.856425,175159.420168
2021-03-29,389231.576674,175159.420168
2021-04-05,390177.864826,175159.420168
2021-04-12,391078.948914,175159.420168
2021-04-19,391916.666146,175159.420168
2021-04-26,392672.787700,177450.115619
2021-05-03,390369.488668,177450.115619
2021-05-10,394458.074890,177450.115619
2021-05-17,395481.225467,177450.115619
2021-05-24,396482.482399,177450.115619
2021-05-31,397457.508266,177450.115619
2021-06-07,398400.738902,177450.115619
2021-06-14,399304.916701,177450.115619
2021-06-21,400160.393315,177450.115619
2021-06-28,400962.692567,177220.452180
2021-07-05,398550.078542,177220.452180
2021-07-12,398971.317196,177220.452180
2021-07-19,400718.167459,177220.452180
2021-07-26,401097.250116,177220.452180
2021-08-02,401925.451858,177220.452180
2021-08-09,402894.907877,177220.452180
2021-08-16,403830.585876,177220.452180
2021-08-23,404739.438196,177220.452180
2021-08-30,405583.720743,176090.812966
2021-09-06,403574.409899,176090.812966
2021-09-13,404042.625173,176090.812966
2021-09-20,404494.038277,176090.812966
2021-09-27,405967.615637,176090.812966
2021-10-04,406412.671998,176090.812966
2021-10-11,407351.352547,176090.812966
2021-10-18,408275.539848,176090.812966
2021-10-25,409155.405774,176090.812966
2021-11-01,409979.017649,180179.727294
2021-11-09,410596.299008,180179.727294
2021-11-16,411213.580368,180179.727294
2021-11-23,411830.861727,174072.746064
2021-11-30,409900.959332,174072.746064
2021-12-07,410391.193023,174072.746064
2021-12-14,410865.015114,174072.746064
2021-12-21,411324.423138,177153.258720
2021-12-28,411960.375162,177153.258720
2022-01-04,412596.327186,177153.258720
2022-01-11,413232.279210,177153.258720
2022-01-18,413868.231234,177153.258720
2022-01-25,414504.183258,177153.258720
2022-02-01,415140.135282,177153.258720
2022-02-08,415776.087306,177153.258720
2022-02-15,408339.299255,324318.908135
2022-02-22,408547.558536,340876.661568
2022-03-01,408708.356419,350303.005687
2022-03-08,408850.717172,354064.256249
2022-03-14,408990.023176,355061.231492
2022-03-21,409037.375062,260666.279746
2022-03-28,409190.737890,192648.045843
2022-04-04,409536.377997,166014.207924
2022-04-11,409962.315513,166084.452247
2022-04-18,410366.742690,123245.049016
2022-04-25,406638.702865,123245.049016
2022-05-02,407171.795419,123245.049016
2022-05-09,407704.887974,123245.049016
2022-05-16,408237.980528,123245.049016
2022-05-23,408771.073082,123245.049016
2022-05-30,405722.154002,156193.180764
2022-06-06,406161.755158,156259.170441
2022-06-13,406598.643636,161502.698772
2022-06-20,407024.816354,161576.300780
2022-06-27,407462.488344,161651.403887
2022-07-04,407900.047904,161651.403887
2022-07-11,408337.607464,161651.403887
2022-07-18,408775.167023,161651.403887
2022-07-25,409212.726583,161651.403887
2022-08-01,409650.286143,161651.403887
2022-08-08,410087.845702,161651.403887
2022-08-15,410525.405262,161651.403887
2022-08-22,410962.974802,161651.403887
2022-08-29,411400.544341,161651.403887
2022-09-05,411838.113881,161651.403887
2022-09-12,413926.014466,161651.403887
2022-09-19,414376.883797,161651.403887
2022-09-26,414827.753127,161651.403887
2022-10-03,415283.609963,161651.403887
2022-10-10,415721.017634,118253.976693
2022-10-17,413488.226917,118301.027205
2022-10-24,413814.467369,118354.193659
2022-10-31,414123.272042,118407.377052
2022-11-08,414353.536845,118460.580437
2022-11-15,414608.931758,118513.803812
2022-11-22,418054.570233,118567.047177
2022-11-29,418837.660350,118620.310532
2022-12-06,419571.646438,118673.593877
2022-12-13,420242.965808,117858.937755
2022-12-20,418085.691941,117912.261080
2022-12-27,418422.236767,117965.604395
